CIRCUITO,n_vanos_geo,longitud_geom_km,municipios,n_transformadores_geo,capacidad_transformadores_kva,transformadores_energizados,n_interruptores_geo,tipos_interruptor,interruptores_energizados
ENE23L14,343,72.07254953245238,"['CASABIANCA', 'HERVEO', 'MANIZALES', 'VILLAMARIA']",99.0,3143.0,99.0,54,"['1CC', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",54
CHA23L16,485,70.99144490576622,"['CHINCHINA', 'PALESTINA', 'SANTA ROSA DE CABAL']",177.0,4863.5,177.0,117,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",117
MAR23L12,314,70.3453417470995,"['MARSELLA', 'SANTA ROSA DE CABAL']",123.0,2706.5,123.0,74,"['1CC', '2CC', '2CFR', '2CR', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",74
ENE23L15,484,68.93387113353093,"['HERVEO', 'MANIZALES', 'MARULANDA', 'VILLAMARIA']",170.0,9157.0,170.0,58,"['2CC', '2CFR', '3CC', '3IG', '3OS', '3RL']",58
AMR23L12,443,68.84898728775487,"['ANSERMA', 'MANIZALES', 'NEIRA', 'PALESTINA']",148.0,6787.5,148.0,89,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",89
VCT23L14,285,67.64187364492571,['VICTORIA'],69.0,731.5,69.0,40,"['1CC', '1CFR', '2CC', '2CFR', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",40
SUP23L14,339,66.90765848957334,"['CARAMANTA', 'RIOSUCIO', 'SUPIA']",120.0,2251.5,120.0,63,"['1CC', '1CFR', '2CC', '3CC', '3CFR', '3CR', '3OS', '3RG', '3RL']",60
MLA23L15,285,66.75382035406655,"['MANZANARES', 'MARQUETALIA']",113.0,2144.0,113.0,59,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",59
BUM23L13,308,63.81292614182105,['BELEN DE UMBRIA'],118.0,2767.5,118.0,72,"['1CC', '1CFR', '2CC', '3CC', '3CR', '3IG', '3OS', '3RL']",72
INS23L12,468,63.56595262448806,"['CHINCHINA', 'PALESTINA']",151.0,3690.5,151.0,96,"['1CC', '2CC', '3CC', '3CFR', '3IG', '3OS', '3RL']",96
DOR23L15,453,62.909193326090644,"['GUADUAS', 'LA DORADA']",111.0,3836.0,111.0,63,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OC', '3OS', '3RL']",62
IRR23L12,335,62.757211319240746,"['FILADELFIA', 'MANIZALES', 'NEIRA']",124.0,3856.5,124.0,85,"['1CC', '2CC', '3CC', '3CFR', '3CR', '3IG', '3OS', '3RL']",85
AMR23L14,704,61.5280745521533,"['MANIZALES', 'PALESTINA']",256.0,8863.0,256.0,109,"['1CC', '2CC', '3CC', '3CR', '3OS', '3RG', '3RL']",109
SUP23L13,311,60.934723237093145,"['RIOSUCIO', 'SUPIA']",108.0,3586.0,108.0,51,"['1CC', '2CC', '2CFR', '3CC', '3OS', '3RG', '3RL']",50
BOA23L14,240,59.9491975646892,"['ANSERMANUEVO', 'BALBOA', 'LA CELIA']",94.0,1515.5,94.0,46,"['1CC', '1CFR', '1CR', '2CC', '2CFR', '3CC', '3CFR', '3OS', '3RG', '3RL']",46
MGT23L14,424,58.36347164944257,"['ANSERMA', 'RISARALDA', 'SAN JOSE']",130.0,4051.5,130.0,88,"['1CC', '2CC', '3CC', '3CFR', '3OS', '3RG', '3RL']",88
